exchange,contract_ticker,underlying_ticker,name,asset_type,quote_currency,status,max_leverage,market_region,source_endpoint,classification_method,confidence,collected_at_utc
Bitget,AALUSDT,AAL,American Airlines Group Inc.,equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AAOIUSDT,AAOI,"Applied Optoelectronics, Inc.",equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AAPLUSDT,AAPL,Apple Inc.,equity,USDT,online,100,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AAPUUSDT,AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X ETF,etf,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,ABNBUSDT,ABNB,"Airbnb, Inc. Class A",equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,ACHRUSDT,ACHR,Archer Aviation Inc.,equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,ADBEUSDT,ADBE,Adobe Inc.,equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,ADIUSDT,ADI,"Analog Devices, Inc.",equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,ADVANTESTUSDT,ADVANTEST,,equity_or_etf,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AEHRUSDT,AEHR,Aehr Test Systems,equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,ALABUSDT,ALAB,"Astera Labs, Inc.",equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AMATUSDT,AMAT,Applied Materials Inc,equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AMCUSDT,AMC,,equity_or_etf,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AMDUSDT,AMD,Advanced Micro Devices,equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AMGNUSDT,AMGN,Amgen Inc,equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AMKRUSDT,AMKR,Amkor Technology Inc,equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AMZNUSDT,AMZN,Amazon.Com Inc,equity,USDT,online,100,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,AMZUUSDT,AMZU,Direxion Shares ETF Trust Direxion Daily AMZN Bull 2X ETF,etf,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,ANETUSDT,ANET,Arista Networks,equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,ANTHROPICUSDT,ANTHROPIC,,equity_or_etf,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
Bitget,APDUSDT,APD,"Air Products & Chemicals, Inc.",equity,USDT,online,20,US,https://api.bitget.com/api/v3/market/instruments?category=USDT-FUTURES,symbolType=stock,high,2026-09-09T08:18:38+00:00
