exchange,contract_ticker,underlying_ticker,name,asset_type,quote_currency,status,max_leverage,market_region,source_endpoint,classification_method,confidence,collected_at_utc
Gate,AAL_USDT,AAL,American Airlines Group Inc.,equity,USDT,active,20,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
Gate,AAOI_USDT,AAOI,"Applied Optoelectronics, Inc.",equity,USDT,active,50,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
Gate,AAPL_USDT,AAPL,Apple Inc.,equity,USDT,active,100,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
Gate,AAPU_USDT,AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X ETF,etf,USDT,active,20,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
Gate,ABBV_USDT,ABBV,ABBVIE INC.,equity,USDT,active,20,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
Gate,ABNB_USDT,ABNB,"Airbnb, Inc. Class A",equity,USDT,active,20,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
Gate,ACN_USDT,ACN,Accenture PLC,equity,USDT,active,25,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
Gate,ADBE_USDT,ADBE,Adobe Inc.,equity,USDT,active,20,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
Gate,ADI_USDT,ADI,"Analog Devices, Inc.",equity,USDT,active,20,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
Gate,ADSK_USDT,ADSK,Autodesk Inc,equity,USDT,active,20,US,https://api.gateio.ws/api/v4/futures/usdt/contracts + https://api.gateio.ws/api/v4/stock/symbols,matched Gate stock-symbol universe,high,2026-09-09T08:18:38+00:00
