exchange,contract_ticker,underlying_ticker,name,asset_type,quote_currency,status,max_leverage,market_region,source_endpoint,classification_method,confidence,collected_at_utc
MEXC,AALSTOCK_USDT,AALSTOCK,AAL_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AAOISTOCK_USDT,AAOISTOCK,AAOI_USDT PERPETUAL,equity,USDT,active,50,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AAPLSTOCK_USDT,AAPLSTOCK,AAPL_USDT PERPETUAL,equity,USDT,active,100,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AAPU_USDT,AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X ETF,etf,USDT,active,20,US,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AASTOCK_USDT,AASTOCK,AA_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,ABNBSTOCK_USDT,ABNBSTOCK,ABNB_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,ADBESTOCK_USDT,ADBESTOCK,ADBE_USDT PERPETUAL,equity,USDT,active,50,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,ADMSTOCK_USDT,ADMSTOCK,ADM_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,ADVANTESTSTOCK_USDT,ADVANTESTSTOCK,ADVANTEST_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AEHRSTOCK_USDT,AEHRSTOCK,AEHR_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AEMSTOCK_USDT,AEMSTOCK,AEM_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AJGSTOCK_USDT,AJGSTOCK,AJG_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AJINOMOTOSTOCK_USDT,AJINOMOTOSTOCK,AJINOMOTO_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,ALABSTOCK_USDT,ALABSTOCK,ALAB_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,ALNYSTOCK_USDT,ALNYSTOCK,ALNY_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AMATSTOCK_USDT,AMATSTOCK,AMAT_USDT PERPETUAL,equity,USDT,active,100,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
MEXC,AMCSTOCK_USDT,AMCSTOCK,AMC_USDT PERPETUAL,equity,USDT,active,20,,https://api.mexc.com/api/v1/contract/detail,conceptPlate=Stock|ETF,high,2026-09-09T08:18:38+00:00
