exchange,contract_ticker,underlying_ticker,name,asset_type,quote_currency,status,max_leverage,market_region,source_endpoint,classification_method,confidence,collected_at_utc
KuCoin,AAOIUSDTM,AAOI,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,AAPLUSDTM,AAPL,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,ADBEUSDTM,ADBE,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,ALABUSDTM,ALAB,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,AMATUSDTM,AMAT,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,AMDUSDTM,AMD,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,AMZNUSDTM,AMZN,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,ANTHROPICUSDTM,ANTHROPIC,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,APLDUSDTM,APLD,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,ARMUSDTM,ARM,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,ASMLUSDTM,ASML,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,ASTSUSDTM,ASTS,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,AVGOUSDTM,AVGO,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,AXTIUSDTM,AXTI,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,BABAUSDTM,BABA,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
